Date,Store,Type,Total
2025-01-14,agua,groceries,27000.0
2024-11-11,barberia,beauty,133000.0
2025-02-28,mustaches,beauty,192000.0
2024-10-17,peluqueria,beauty,25000.0
2024-11-29,barberia,beauty,90000.0
2025-01-01,grand hyatt,restaurant,535370.0
2024-05-30,tigo,utilities,95065.0
2024-06-28,tigo,utilities,95065.0
2024-12-07,gorro ingrid,clothing,20000.0
2024-12-15,super liquidator,clothing,41930.0
2024-12-01,zara,clothing,399800.0
2024-12-15,lasgatas,clothing,48250.0
2024-11-06,decathalon,clothing,394000.0
2024-12-15,monimo,clothing,32000.0
2024-11-29,zara,clothing,180700.0
2024-10-29,mercadolibre,gift,68000.0
2024-10-29,mercadolibre,gift,53000.0
2024-10-01,uber,transportation,6380.0
2024-10-05,uber,transportation,25937.0
2025-03-03,paseo archie,dog,20000.0
2024-11-30,puppies,dog,91010.0
2024-11-30,puppies,dog,302700.0
2024-08-03,puppies,dog,75237.0
2024-06-26,puppies,dog,68765.0
2024-09-28,puppies,dog,185328.0
2024-02-01,puppies,dog,9207.0
2024-09-09,puppies,dog,60345.0
2024-06-13,puppies,dog,123165.0
2024-08-15,puppies,dog,239395.0
2023-11-28,puppies,dog,29700.0
2023-11-26,puppies,dog,26900.0
2024-08-10,puppies,dog,61350.0
2024-10-12,puppies,dog,50000.0
2024-09-16,puppies,dog,88164.0
2023-12-27,puppies,dog,24000.0
2023-12-18,puppies,dog,56900.0
2025-03-06,puppies,dog,73749.0
2024-11-15,puppies,dog,328160.0
2024-10-17,puppies,dog,75237.0
2025-12-03,puppies,dog,73749.0
2023-10-20,puppies,dog,4500.0
2024-06-15,puppies,dog,100725.0
2024-06-08,puppies,dog,75237.0
2023-11-21,puppies,dog,570600.0
2024-02-17,puppies,dog,268700.0
2024-01-17,puppies,dog,99417.0
2024-01-15,puppies,dog,345389.5
2024-01-07,puppies,dog,89187.0
2023-10-31,puppies,dog,29700.0
2023-11-16,puppies,dog,4800.0
2024-07-01,puppies,dog,68765.0
2025-03-01,puppies,dog,135780.0
2024-01-20,puppies,dog,24552.0
2023-12-12,puppies,dog,19200.0
2024-01-10,puppies,dog,108387.0
2024-07-16,puppies,dog,75237.0
2024-12-19,petgourmet,dog,41500.0
2024-07-11,d1,pet,20650.0
2024-07-22,puppies,dog,75237.0
2024-07-12,puppies,dog,75237.0
2025-02-28,pelupet,dog,106000.0
2025-02-07,paseo archie,dog,40000.0
2024-12-10,paseo archie,dog,40000.0
2025-02-06,puppies,dog,25415.0
2024-07-27,toysmart,entertainment,24900.0
2024-06-24,panamericana,entertainment,49500.0
2024-06-18,cinecolombia,entertainment,42200.0
2024-08-30,icloud,entertainment,12900.0
2024-01-31,casa ideas,entertainment,33200.0
2024-06-14,farmatodo,entertainment,24950.0
2024-06-15,jungla park,entertainment,110000.0
2024-04-03,la tienda papelera,entertainment,13500.0
2024-05-30,max,entertainment,53000.0
2024-08-31,microsoft,entertainment,9999.0
2024-08-12,panamericana,entertainment,113500.0
2023-12-24,miniso,entertainment,39900.0
2023-12-15,cinemark,entertainment,190950.0
2024-07-02,cinecolombia,entertainment,79000.0
2024-02-20,cinemark,entertainment,35600.0
2024-08-17,jumbo,entertainment,30000.0
2024-01-26,panamericana,entertainment,92900.0
2024-09-01,cinemark,entertainment,20000.0
2024-08-02,panamericana,entertainment,84300.0
2024-01-31,panamericana,entertainment,46000.0
2024-08-31,canva,entertainment,23000.0
2024-07-09,jumbo,entertainment,2200.0
2024-07-15,panamericana,entertainment,86000.0
2024-01-09,panamericana,entertainment,25200.0
2024-08-30,daflores,entertainment,134800.0
2024-10-05,cinepolis,entertainment,56800.0
2025-03-02,cinecolombia,entertainment,11600.0
2024-11-10,tickets feria automovil,entertainment,70000.0
2024-10-16,disney+,entertainment,34900.0
2025-03-01,spotify,entertainment,26400.0
2024-12-17,spotify,entertainment,26400.0
2024-11-16,disney+,entertainment,34900.0
2024-12-17,disney+,entertainment,34900.0
